text,author,published_at,like_count,clean_text,sentiment_score,sentiment_label
"He should have address white male violence, because he would have saved his own life. 

These young boys are really in trouble. They need guidance. Not someone who is focused on the problems of other people. We have our own to address this. We didn't need him.",@qolspony,2025-11-16T05:44:08Z,0,address white male violence would saved life young boys really trouble need guidance someone focused problems people address need,-0.659,Negatif
Reaching out to his mortal enemy??!! Shows ugliness,@dmt999,2025-11-13T22:19:55Z,0,reaching mortal enemy shows ugliness,-0.7506,Negatif
"Rodney King said it;... Y'all didn't listen/agree!!..... And the ""Deplorables"" comment Didn't help+!🎉",@OswaldJames-x2t,2025-11-13T15:15:25Z,0,rodney king said listen agree deplorables comment help,0.6369,Positif
"Please let's call a spade a spade. The call to violence is 95% the left basic thing, driven up by the flaming rhetoric of the woke media mob, their counterparts and their assigned talking points. So, to attribute the level of hate and violence  in this country to both sides is simply a big fallacy. It is high time people owned their responsibilities. Charlie died because of all these wickedness.They almost assassinated President Trump a couple of times. How can the violence stop without remorse and retraction?",@chiomaokeke1821,2025-11-12T18:02:21Z,0,please let call spade spade call violence left basic thing driven flaming rhetoric woke media mob counterparts assigned talking points attribute level hate violence country sides simply big fallacy high time people owned responsibilities charlie died wickedness almost assassinated president trump couple times violence stop without remorse retraction,-0.9712,Negatif
"How could a murder have been somehow better - I think that had these two had the opportunity to debate, things would have been better. This just makes a tragic story worse.",@davidk7544,2025-11-11T05:30:01Z,0,could murder somehow better think two opportunity debate things would better makes tragic story worse,-0.4939,Negatif
Max headroom and a different version of Lennon,@scottstanley8370,2025-11-10T17:16:13Z,0,max headroom different version lennon,0.0,Netral
"Charlie didn’t have “mortal enemies”. Sending you an agreeable message was on par with his way of operating, not something out of the blue. If you knew anything about Charlie and his ideals he had no ill will against anyone, he just wanted to challenge the way people thought about the country we all live in. This is sympathy for the left propaganda. They’re taking heat for being what Charlie called them out to be.",@Starbrained,2025-11-09T22:10:45Z,0,charlie didnt mortal enemies sending agreeable message par way operating something blue knew anything charlie ideals ill anyone wanted challenge way people thought country live sympathy left propaganda theyre taking heat charlie called,0.6402,Positif
"2:30 lol… this dude…. Yah buddy. Thats good for you, that you think cnn would “build his platform” 
Dude did more on his “platform” than any cnn host has ever done….period…",@angrymiddleagedude,2025-11-09T15:10:47Z,0,lol dude yah buddy thats good think cnn would build platform dude platform cnn host ever done period,0.6908,Positif
"Too late, God had a plan time for you and you have never saw the good in it. Good thing is that God always gives us second chances. I bet by now you have changed bcs of the goodness from his Charlies heart and bcs of  God.",@rose_LVV,2025-11-07T20:31:35Z,0,late god plan time never saw good good thing god always gives second chances bet changed bcs goodness charlies heart bcs god,0.6472,Positif
This house ninja does not speak for black folks.  How much is the fbi paying him???????,@therealkpeworldwide,2025-11-05T12:11:13Z,0,house ninja speak black folks much fbi paying,0.0,Netral
"CNN are such dorks. Charlie was asking for a civil discussion, and even in death they are like ""nah, but maybe in our hood"". They should wear KKK capes when they report the news. It would sound more authentic.",@calpauly310,2025-11-05T08:01:52Z,0,cnn dorks charlie asking civil discussion even death like nah maybe hood wear kkk capes report news would sound authentic,-0.5106,Negatif
"Isn't this the ""dead Gaza baby"" joke guy?",@صعلوك00,2025-11-04T22:25:52Z,0,dead gaza baby joke guy,-0.4767,Negatif
People on both sides?,@Auntymoo01,2025-11-04T21:21:13Z,0,people sides,0.0,Netral
"i disagree with everyone. We need war, censorship, weapons. Thats how we finally get peace. 

And I will win. You will lose.",@survivorisland,2025-11-04T05:49:16Z,0,disagree everyone need war censorship weapons thats finally get peace win lose,-0.5859,Negatif
Van jones is another OJ time bomb just ticking ticking ticking,@survivorisland,2025-11-04T05:47:07Z,0,van jones another time bomb ticking ticking ticking,-0.4939,Negatif
Van Jones is slime and genocide promoter. His Interview with Bill Maher and Thomas Freidman and see how he makes fun of illegal moralities of children and babies by  Israel. Yes Charlie Kirk was definitely disagreeing with this POS.,@smokingsix,2025-11-03T18:48:06Z,0,van jones slime genocide promoter interview bill maher thomas freidman see makes fun illegal moralities children babies israel yes charlie kirk definitely disagreeing pos,0.4019,Positif
Van Jones was bending over at Diddy Parties.,@heelturnmedia,2025-11-03T17:19:44Z,1,van jones bending diddy parties,0.4019,Positif
"We all know the truth now. Van Jones has taken 100 million dollars from Bibi netanyahu, and that is a fact.",@jodymcgrady8654,2025-11-03T06:05:23Z,0,know truth van jones taken million dollars bibi netanyahu fact,0.3182,Positif
"Well, we all know about a van Jones is receiving money from Bibi Netanyahu",@jodymcgrady8654,2025-11-03T06:04:39Z,0,well know van jones receiving money bibi netanyahu,0.2732,Positif
"Hey jeuu's if you're so innocent, why do u need billions of. Dollars for defense and paying off people... jeuu money is useless",@EwJeuu-q4g,2025-11-02T23:20:46Z,0,hey jeuu innocent need billions dollars defense paying people jeuu money useless,0.0258,Netral
"How quickly the jeuu's were to switch the narrative from. ""Hey. Those jeuu's seem to be around every suspicious meeting.""",@EwJeuu-q4g,2025-11-02T23:19:51Z,0,quickly jeuu switch narrative hey jeuu seem around every suspicious meeting,-0.3612,Negatif
Free speech... respect van and charlie r.i.p,@thegladdenfamily,2025-11-02T02:17:21Z,0,free speech respect van charlie,0.7506,Positif
Good man ❤,@chaos_corella,2025-11-01T08:01:03Z,0,good man,0.4404,Positif
We don’t rock with you Van!! So we don’t care about the statement. Yes Mr. Kirk SHOULD NOT HAVE BEEN MURDERED!! His people pew pew him. This is not our fight. I hurt for those kids because they lost their father. So let see if people respect this comment.,@javun3000,2025-10-31T05:24:23Z,0,dont rock van dont care statement yes kirk murdered people pew pew fight hurt kids lost father let see people respect comment,-0.9258,Negatif
Christ is King,@SuperSikarlo,2025-10-30T08:22:16Z,0,christ king,0.0,Netral
The killer that killed the Ukrainian woman clearly stated “I killed that white girl”. Why is her race important just say I killed that girl.  That dude killed her because he thinks he has a white problem. But he has a black problem.,@Kyruk-u1v,2025-10-28T22:15:50Z,0,killer killed ukrainian woman clearly stated killed white girl race important say killed girl dude killed thinks white problem black problem,-0.9781,Negatif
Bravo Van,@fullahel453,2025-10-28T19:02:19Z,0,bravo van,0.0,Netral
That dude was shot not assassinated..,@jerrollhunt281,2025-10-28T15:58:32Z,0,dude shot assassinated,0.0,Netral
Take notes,@kristin972,2025-10-28T15:20:35Z,0,take notes,0.0,Netral
Van Jones is a performative loser who finds a way to make most stuff about him. Nobody cares him or Charlie kirk,@UnarmedDude3163,2025-10-26T12:44:04Z,0,van jones performative loser finds way make stuff nobody cares charlie kirk,-0.1027,Negatif
Thank you Van for being human and telling the truth about Charlie.,@TRUMP-ki9vn,2025-10-26T08:09:06Z,0,thank van human telling truth charlie,0.5859,Positif
"It’s so crazy how republicans make jokes about democrats dying all the time, they make jokes about Travon Martin they make jokes, now two wrongs don’t make a right I’ve never made fun of Charlie Kirk and I won’t. Ppl just forget",@KjellMcLaren-z9x,2025-10-25T11:33:38Z,0,crazy republicans make jokes democrats dying time make jokes travon martin make jokes two wrongs dont make right ive never made fun charlie kirk wont ppl forget,0.1441,Positif
A positive message from Van Jones w a CNN interviewer. Now that’s amazing. Charlie changed the World and we are turning it around only w  God’s love and ultimate wisdom,@Tayva3434,2025-10-25T01:55:29Z,0,positive message van jones cnn interviewer thats amazing charlie changed world turning around gods love ultimate wisdom,0.9432,Positif
"WOW! This Van dude is such A FOOOOL!!! Kirk DOES NOT DEBATE!! He gets you on his platform, twists everything you say, over talks you, then shut's the mike off when you start making sense! WTF is wrong with you!!!!!!!!!!!!!!!!",@mikewilliams6043,2025-10-24T19:40:56Z,0,wow van dude fooool kirk debate gets platform twists everything say talks shut mike start making sense wtf wrong,-0.4767,Negatif
"Sudden respect for Van Jones... agree 100% we all need to agree to disagree, true gentleman",@keithmoore7515,2025-10-23T17:45:17Z,0,sudden respect van jones agree need agree disagree true gentleman,0.8074,Positif
Charlie Kirk was killed by the IDF. He had changed his mind on supporting Israel and communicating it.,@eviliswhereevilthinks9617,2025-10-23T11:44:38Z,0,charlie kirk killed idf changed mind supporting israel communicating,-0.3818,Negatif
